
📺中央卫视数字频道,#genre#
CCTV13,http://122.230.39.185:44158/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:50777/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:6060/rtp/233.50.201.246:5140
CCTV14,http://tnvcn.com:8012/rtp/239.3.1.65:8132$BJ联通1+
CCTV14,http://122.230.39.185:2030/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:2078/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:2121/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:2715/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:347/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:385/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:44158/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:50777/rtp/233.50.201.124:5140
CCTV14,http://122.230.39.185:6060/rtp/233.50.201.124:5140
CCTV15,http://tnvcn.com:8012/rtp/239.3.1.153:8136$BJ联通1+
CCTV16,http://tnvcn.com:8012/rtp/239.3.1.184:8001$BJ联通1+
CCTV16,http://122.230.39.185:2030/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:2078/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:2121/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:2715/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:347/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:385/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:44158/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:50777/rtp/233.50.201.192:5140
CCTV16,http://122.230.39.185:6060/rtp/233.50.201.192:5140
CCTV17,http://tnvcn.com:8012/rtp/239.3.1.151:8144$BJ联通1+
CCTV4M,http://220.175.145.4:9000/rtp/239.252.219.193:5140
CCTV4M,http://117.43.80.219:9999/rtp/239.252.219.193:5140
CCTV4M,http://111.73.20.168:8688/rtp/239.252.219.193:5140
CCTV4U,http://220.175.145.4:9000/rtp/239.252.219.192:5140
CCTV4U,http://117.43.80.219:9999/rtp/239.252.219.192:5140
CCTV4U,http://111.73.20.168:8688/rtp/239.252.219.192:5140
CETV1,http://183.52.44.224:11/rtp/239.77.0.200:5146
CETV1,http://113.103.253.123:2000/rtp/239.77.0.200:5146
CETV1,http://61.140.233.79:4000/rtp/239.77.0.200:5146
CETV1,http://59.38.60.204:2052/rtp/239.77.0.200:5146
CETV2,http://183.52.44.224:11/rtp/239.77.1.69:5146
CETV2,http://113.103.253.123:2000/rtp/239.77.1.69:5146
CETV2,http://61.140.233.79:4000/rtp/239.77.1.69:5146
CETV2,http://59.38.60.204:2052/rtp/239.77.1.69:5146
