央视(电信),#genre#
广东新闻,http://14.145.210.68:6006/udp/239.77.0.173:5146
广东新闻,http://106.110.45.11:4001/udp/239.77.0.173:5146
广东新闻,http://121.32.204.50:9999/udp/239.77.0.173:5146
广东民生,http://113.90.157.29:6006/udp/239.77.0.225:5146
广东民生,http://14.212.138.50:5555/udp/239.77.0.225:5146
广东民生,http://113.101.28.221:8889/udp/239.77.0.225:5146
广东民生,http://113.94.123.97:19888/udp/239.77.0.225:5146
广东民生,http://183.6.69.75:4001/udp/239.77.0.225:5146
广东民生,http://14.145.210.68:6006/udp/239.77.0.225:5146
广东民生,http://106.110.45.11:4001/udp/239.77.0.225:5146
广东民生,http://121.32.204.50:9999/udp/239.77.0.225:5146
广东体育,http://113.90.157.29:6006/udp/239.77.0.112:5146
广东体育,http://14.212.138.50:5555/udp/239.77.0.112:5146
广东体育,http://113.101.28.221:8889/udp/239.77.0.112:5146
广东体育,http://113.94.123.97:19888/udp/239.77.0.112:5146
广东体育,http://183.6.69.75:4001/udp/239.77.0.112:5146
广东体育,http://14.145.210.68:6006/udp/239.77.0.112:5146
广东体育,http://106.110.45.11:4001/udp/239.77.0.112:5146
广东体育,http://121.32.204.50:9999/udp/239.77.0.112:5146
广东经济科教,http://113.90.157.29:6006/udp/239.77.0.85:5146
广东经济科教,http://14.212.138.50:5555/udp/239.77.0.85:5146
广东经济科教,http://113.101.28.221:8889/udp/239.77.0.85:5146
广东经济科教,http://113.94.123.97:19888/udp/239.77.0.85:5146
